address,name,rssi,txPower,isConnectable,local_x,local_y,local_z,latitude,longitude,timestamp,rawData
33:D6:7C:E5:FD:C5,,-66,127,False,-0.03764283,-0.4909539,8.020643,39.7221450805664,-105.18270111084,173.70817565918,33:D6:7C:E5:FD:C5||-66|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402184053
24:FC:E5:B8:A4:6B,[TV] Samsung 8 Series (75),-59,127,False,-0.03791726,-0.4912255,8.009578,39.7221450805664,-105.18270111084,173.741439819336,24:FC:E5:B8:A4:6B|[TV] Samsung 8 Series (75)|-59|127|false|DUAL|1|0|255|0|117:QgQBgGAk/OW4pGsm/OW4pGoBAAAAAAAA||||G/91AEIEAYBgJPzluKRrJvzluKRqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402184084
24:FC:E5:B8:A4:6B,[TV] Samsung 8 Series (75),-60,127,False,-0.0877499,-0.3826588,8.154975,39.7221374511719,-105.182754516602,112.757423400879,24:FC:E5:B8:A4:6B|[TV] Samsung 8 Series (75)|-60|127|false|DUAL|1|0|255|0|117:QgQBgGAk/OW4pGsm/OW4pGoBAAAAAAAA||||G/91AEIEAYBgJPzluKRrJvzluKRqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402123081
05:7A:17:32:4F:C4,,-87,127,False,-0.0877499,-0.3826588,8.154975,39.7221374511719,-105.182754516602,112.757423400879,05:7A:17:32:4F:C4||-87|127|false|UNKNOWN|1|0|255|0|6:AQkgImi8Y31aXlCQLQdnjPcDwkKjA6pOPgLC||||Hv8GAAEJICJovGN9Wl5QkC0HZ4z3A8JCowOqTj4CwgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402123086
0D:24:F1:43:F3:99,,-57,127,False,-0.08932609,-0.3805185,8.171265,39.7221374511719,-105.182754516602,112.807312011719,0D:24:F1:43:F3:99||-57|127|false|UNKNOWN|1|0|255|0|76:CQYDpsCoDGo=|||26|AgEaC/9MAAkGA6bAqAxqAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402123118
33:D6:7C:E5:FD:C5,,-64,127,False,-0.08921166,-0.3787977,8.187276,39.7221374511719,-105.182754516602,112.84056854248,33:D6:7C:E5:FD:C5||-64|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402123174
CA:ED:36:1B:66:F6,,-70,127,True,-0.08921166,-0.3787977,8.187276,39.7221374511719,-105.182754516602,112.84056854248,CA:ED:36:1B:66:F6||-70|127|true|UNKNOWN|1|0|255|0|76:EhkQ8Erlcd2wKgUqPZ/lfbT4QzT0drsYDwEV||||Hv9MABIZEPBK5XHdsCoFKj2f5X20+EM09Ha7GA8BFQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402123185
24:FC:E5:B8:A4:6B,[TV] Samsung 8 Series (75),-55,127,False,-0.09083528,-0.3792113,8.207265,39.7221374511719,-105.182754516602,112.873863220215,24:FC:E5:B8:A4:6B|[TV] Samsung 8 Series (75)|-55|127|false|DUAL|1|0|255|0|117:QgQBgGAk/OW4pGsm/OW4pGoBAAAAAAAA||||G/91AEIEAYBgJPzluKRrJvzluKRqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402123220
33:D6:7C:E5:FD:C5,,-65,127,False,-0.09617361,-0.3792694,8.242183,39.7221374511719,-105.182754516602,112.940406799316,33:D6:7C:E5:FD:C5||-65|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402123275
0D:24:F1:43:F3:99,,-54,127,False,-0.1010585,-0.3781475,8.256746,39.7221374511719,-105.182754516602,112.973701477051,0D:24:F1:43:F3:99||-54|127|false|UNKNOWN|1|0|255|0|76:CQYDpsCoDGo=|||26|AgEaC/9MAAkGA6bAqAxqAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402123299
